Profile,Depth/ms,Heave/m,Throw/ms,Depth/m
7,2795.71,18.5588,18.711,2428.812449
7,2806.85,19.1393,18.08,2438.582006
7,2815.03,19.8487,19.0038,2445.834721
7,2824.44,33.4421,20.42,2454.260765
7,2836.27,21.471,24.1825,2464.979395
7,2853.13,29.4468,20.0057,2480.497339
7,2863.32,35.3658,21.5742,2490.014035
7,2872.34,37.4374,26.694,2498.524676
7,2884.17,39.2131,29.831,2509.809963
7,2902.84,30.6253,26.996,2527.905021
7,2917.4,24.7309,24.7791,2542.25856
7,2927.94,35.4883,23.3758,2552.78138
7,2951.36,46.0106,24.554,2576.560877
7,2976.9,46.8718,23.8855,2603.118135
7,2987.97,45.9401,24.2706,2614.831689
7,3003.56,49.0164,22.7043,2631.535829
7,3020.93,46.0106,21.4558,2650.433433
7,3036.73,45.5606,24.2625,2667.885007
7,3045.5,49.2476,25.7563,2677.679475
7,3061.91,46.0106,25.1551,2696.213011
7,3083.37,37.6512,22.6115,2720.856387
7,3101.79,37.6223,23.8049,2742.376105
7,3113.55,46.0106,20.8547,2756.292536
7,3132.58,34.5088,23.8558,2779.105034
7,3146.24,43.0049,20.8547,2795.703437
7,3155.4,52.0221,24.554,2806.93836
7,3170.69,49.0164,25.1551,2825.878771
7,3188.59,51.051,27.8778,2848.349357
7,3199.59,49.1273,24.7408,2862.317047
7,3209.74,43.2084,23.9418,2875.312752
7,3225.93,45.132,26.694,2896.255083
7,3238.23,41.2847,25.1255,2912.340777
7,3245.73,39.3611,26.3093,2922.223377
7,3259.42,29.4999,24.5311,2940.407462
7,3277.75,35.2178,15.685,2965.048206
7,3295.59,27.5231,13.7317,2989.352887
7,3308.87,20.1588,13.9163,3007.651797
8,2696.69,13.5675,18.4017,2347.427911
8,2707.75,31.8144,17.1647,2356.031706
8,2716.08,21.2016,16.4026,2362.592539
8,2725.43,20.0571,15.9488,2370.039393
8,2732.28,31.8144,15.722,2375.550595
8,2740.67,18.2212,15.4518,2382.364743
8,2749.04,16.3898,15.0226,2389.232789
8,2755.86,21.0813,18.4662,2394.880772
8,2764.66,21.0769,16.4379,2402.23722
8,2774.54,16.0563,13.4166,2410.588784
8,2783.57,23.3843,14.9662,2418.307221
8,2798.12,29.4098,16.6838,2430.915451
8,2806.42,31.8144,19.6432,2438.202602
8,2815.76,20.2351,19.8342,2446.485221
8,2825.65,24.202,20.5231,2455.350666
8,2838.59,22.3548,22.4248,2467.097857
8,2864.18,20.3661,24.2127,2490.821962
8,2876.01,24.7148,26.0316,2502.010717
8,2887.58,43.0049,26.9585,2513.088934
8,2902.96,18.3627,29.8923,2528.022453
8,2917.73,16.8774,30.5234,2542.586337
8,2928.31,42.7101,29.852,2553.152795
8,2952.82,42.7737,24.5077,2578.06145
8,2979.61,58.5144,26.1732,2605.974353
8,2990.55,56.154,26.4797,2617.579286
8,3006.02,37.6573,29.9763,2634.193834
8,3022.45,34.5264,26.1901,2652.101466
8,3037.4,44.0138,24.8472,2668.63056
8,3046.37,38.3238,28.2797,2678.655297
8,3062.36,49.2013,27.9666,2696.725037
8,3075.54,49.0164,30.926,2711.811524
8,3084.81,49.0164,28.9654,2722.526485
8,3094.08,54.0105,29.9272,2733.327379
8,3114.32,56.415,27.9666,2757.208555
8,3125.02,61.4092,30.4081,2769.999014
8,3145.8,56.415,30.4451,2795.16588
8,3156.31,63.8137,31.8878,2808.059075
8,3172.1,61.4092,33.8854,2827.637175
8,3182.42,61.2242,33.3675,2840.567722
8,3189.38,48.5659,35.34,2849.348458
8,3200.05,61.2242,30.889,2862.903786
8,3209.32,61.2242,29.9272,2874.772955
8,3219.26,56.415,31.4069,2887.595456
8,3233.52,37.01,27.27,2906.163259
8,3256.48,53.8255,27.9666,2936.486531
8,3270.21,34.8226,23.4776,2954.871619
8,3292.71,30.128,18.0641,2985.407719
