Dataset,Lost Fault,Large Fault,Total Length
Linked Key&Poly Central 23,14.2857,12.5,4.5455
Linked Key&Poly Central 24,50.0,20.0,14.2857
Linked Key&Poly Central 25,50.0,5.8824,5.2632
Linked Key&Poly North 1,25.0,12.5,5.2632
Linked Key&Poly North 2,20.0,14.2857,4.1667
Linked Key&Poly North 3,25.0,8.3333,4.5455
Linked Key&Poly North 4,5.8824,5.8824,5.8824
Linked Key&Poly North 5,16.6667,12.5,4.5455
Linked Key&Poly North 6,20.0,9.0909,4.5455
Linked Key&Poly North 7,25.0,11.1111,4.7619
Linked Key&Poly North 8,33.3333,10.0,4.5455
Linked Key&Poly North 9,5.8824,5.8824,5.8824
Linked Key&Poly North 10,33.3333,11.1111,4.7619
Linked Key&Poly South 1,33.3333,11.1111,4.3478
Linked Key&Poly South 2,25.0,10.0,5.2632
Linked Key&Poly South 3,33.3333,14.2857,4.7619
Linked Key&Poly South 4,16.6667,12.5,4.5455
Linked Key&Poly South 5,25.0,16.6667,4.7619
Linked Key&Poly South 6,33.3333,11.1111,4.7619
Linked Key&Poly South 7,25.0,11.1111,5.2632
Linked Key&Poly South 8,33.3333,14.2857,4.7619
Linked Key&Poly South 9,25.0,12.5,5.2632
Linked Key&Poly South 10,5.5556,5.5556,5.5556
Linked Key&Poly South 11,50.0,7.6923,5.0
Linked Key&Poly South 12,25.0,12.5,4.1667
Linked Key&Poly South 13,50.0,16.6667,4.3478
Linked Key&Poly South 14,5.5556,5.5556,5.5556
Linked Key&Poly South 15,25.0,12.5,5.5556
Linked Key&Poly South 16,11.1111,9.0909,5.0
Linked Key&Poly South 17,5.8824,5.8824,5.8824
Linked Key&Poly South 18,25.0,12.5,4.1667
Linked Key&Poly South 19,16.6667,16.6667,4.1667
Linked Key&Poly South 20,5.5556,5.5556,5.5556
Linked Key&Poly South 21,16.6667,12.5,4.7619
Linked Key&Poly South 22,20.0,14.2857,5.5556
Linked Key&Poly South 23,25.0,16.6667,5.0
Linked Key&Poly South 24,5.5556,5.5556,5.5556
Linked Key&Poly South 25,5.8824,5.8824,5.8824
part4,50.0,8.3333,2.2727
poly central 1,8.3333,8.3333,8.3333
poly central 2,25.0,10.0,7.1429
poly central 3,8.3333,8.3333,8.3333
poly central 4,8.3333,8.3333,8.3333
poly central 5,9.0909,9.0909,9.0909
poly central 6,25.0,20.0,11.1111
poly central 7,20.0,20.0,20.0
poly central 8,20.0,14.2857,8.3333
poly central 9,8.3333,8.3333,8.3333
poly central 10,20.0,20.0,20.0
poly central 11,14.2857,14.2857,7.1429
poly central 12,20.0,20.0,20.0
poly central 13,20.0,20.0,20.0
poly central 14,20.0,11.1111,7.1429
poly central 15,25.0,20.0,7.6923
poly central 16,8.3333,8.3333,8.3333
poly central 17,20.0,20.0,20.0
poly central 18,9.0909,9.0909,9.0909
poly central 19,9.0909,9.0909,9.0909
poly central 20,8.3333,8.3333,8.3333
poly central 21,20.0,20.0,20.0
poly central 22,8.3333,8.3333,8.3333
poly central 23,25.0,20.0,11.1111
poly central 24,16.6667,16.6667,8.3333
poly central 25,33.3333,16.6667,7.1429
poly north 1,8.3333,8.3333,8.3333
poly north 2,20.0,16.6667,9.0909
poly north 3,25.0,20.0,11.1111
poly north 4,9.0909,9.0909,9.0909
poly north 5,16.6667,16.6667,16.6667
poly north 6,8.3333,8.3333,8.3333
poly north 7,50.0,20.0,6.25
poly north 8,8.3333,8.3333,8.3333
poly north 9,50.0,12.5,7.1429
poly north 10,8.3333,8.3333,8.3333
poly north 11,8.3333,8.3333,8.3333
poly north 12,50.0,20.0,5.0
poly north 13,25.0,11.1111,7.6923
poly north 14,16.6667,12.5,7.1429
poly north 15,20.0,20.0,20.0
poly north 16,20.0,20.0,20.0
poly north 17,8.3333,8.3333,8.3333
poly north 18,8.3333,8.3333,8.3333
poly north 19,25.0,12.5,8.3333
poly north 20,50.0,14.2857,7.1429
poly north 21,20.0,20.0,20.0
