Xline No.,Hangingwall,Footwall,Throw,,,,,,,,
4051,3217.05,3229.89,12.84,,,,,,,,
4050,3216.49,3229.4,12.91,,,,,,,,
4049,3215.27,3229.04,13.77,,,,,,,,
4048,3214.41,3228.48,14.07,,,,,,,,
4047,3213.56,3227.08,13.52,,,,,,,,
4046,3213.23,3226.53,13.3,,,,,,,,
4045,3212.64,3225.61,12.97,,,,,,,,
4044,3211.48,3224.45,12.97,,,,,,,,
4043,3210.07,3222.31,12.24,,,,,,,,
4042,3209.03,3221.76,12.73,,,,,,,,
4041,3207.56,3219.67,12.11,,,,,,,,
4040,3206.71,3217.72,11.01,,,,,,,,
4039,3205.71,3215.61,9.9,,,,,,,,
4038,3204.75,3213.32,8.57,,,,,,,,
4037,3203.35,3210.97,7.62,,,,,,,,
4036,3202.27,3209.29,7.02,,,,,,,,
4035,3186.56,3193.54,6.98,,,,,,,,
4034,3186.02,3192.44,6.42,,,,,,,,
4033,3185.03,3190.66,5.63,,,,,,,,
4032,3183.64,3188.54,4.9,,,,,,,,
4031,3182.15,3186.55,4.4,,,,,,,,
4030,3194.71,3196.4,1.69,,,,,,,,
