Profile,Depth/ms,Heave/m,Throw/ms,Depth/m
6,2959.85,24.2053,16.5113,2585.316656
6,2967.62,16.1188,16.5308,2593.393066
6,2975.61,18.1934,15.3575,2601.761113
6,2982.19,19.7596,16.647,2608.700381
6,2989.33,28.7723,17.0921,2616.279205
6,2997.49,31.8551,18.7101,2625.003143
6,3004.83,46.9263,17.0506,2632.907295
6,3019.11,50.009,16.5113,2648.439223
6,3034.75,14.6898,13.9943,2665.684356
6,3053.21,45.442,12.6531,2686.353649
6,3078.52,78.7813,11.5745,2715.246659
6,3097.66,45.715,18.9644,2737.5216
6,3109.74,25.8037,18.7515,2751.768752
6,3118.99,31.7049,20.3695,2762.776853
6,3129.75,30.2566,18.7101,2775.689606
6,3139.08,33.3393,21.4481,2786.979979
6,3149.4,34.9378,20.9088,2799.56976
6,3161.02,28.7723,18.1707,2813.872934
6,3170.86,27.1738,16.5113,2826.090672
6,3179.94,39.3907,18.1707,2837.45066
6,3204.87,27.8589,19.8136,2869.064517
6,3215.38,14.4275,18.5439,2882.578538
6,3250.08,31.8551,20.9088,2927.981059
6,3260.63,28.7723,20.9088,2942.023689
6,3269.61,33.3393,22.5682,2954.064253
6,3281.21,34.8236,22.5682,2969.737129
6,3294.45,34.8236,21.9874,2987.790266
6,3303.23,36.3079,26.4264,2999.858727
6,3317.55,37.9064,23.1075,3019.707536
6,3330.14,34.8236,21.4896,3037.327808
6,3352.18,50.009,21.9874,3068.555402
6,3364.31,47.0404,20.3695,3085.949155
6,3374.29,42.4734,18.7101,3100.370255
6,3384.1,45.442,20.3695,3114.642775
6,3394.05,48.4105,20.9088,3129.217286
6,3404.66,48.4105,19.7887,3144.86762
6,3415.66,48.5247,19.7887,3161.21208
6,3424.45,56.0603,23.1075,3174.359766
6,3437.1,46.9263,18.1707,3193.416675
6,3447.56,46.9263,19.8302,3209.295269
6,3466.85,62.1116,21.9874,3238.865006
6,3482.29,78.526,18.2321,3262.801175
6,3546.63,96.4786,24.7877,3365.112069
6,3570.07,50.3679,21.8774,3403.414201
6,3584.14,51.2364,22.7134,3426.669168
6,3596.15,68.22,28.9363,3446.675966
6,3607.87,75.6415,22.7134,3466.338727
6,3625.13,60.1532,15.1423,3495.546099
6,3640.87,37.9566,11.5496,3522.441037
7,2697.47,24.833,8.78515,2348.030679
7,2703.84,32.8768,10.5864,2352.976061
7,2713.76,17.3503,7.88454,2360.758301
7,2723,13.609,7.66364,2368.0956
7,2730.94,20.4837,11.9458,2374.4688
7,2736.26,27.9195,11.2661,2378.774276
7,2747.68,19.3642,6.60452,2388.112067
7,2774.99,29.0463,10.554,2410.971493
7,2796.57,26.6715,10.9854,2429.562231
7,2806.69,23.0178,11.0186,2438.440811
7,2818.14,55.7178,13.6405,2448.609728
7,2833.54,32.7,13.209,2462.493444
7,2853.78,30.3251,16.2956,2481.10129
7,2860.85,29.0463,18.9175,2487.697706
7,2870.73,30.3251,17.5899,2496.999627
7,2888.32,46.0357,17.1917,2513.802035
7,2906.84,37.541,15.3995,2531.827181
7,2912.55,32.7,18.486,2537.453786
7,2921.34,35.0748,14.5366,2546.179136
7,2935.88,31.5125,15.3995,2560.781803
7,2951.73,21.0322,13.9092,2576.940957
7,2958.18,30.2566,17.0506,2583.588682
7,2963.83,27.288,18.1293,2589.446065
7,2974.28,17.9013,15.3223,2600.363755
7,2980.84,28.7723,15.9305,2607.273141
7,2989.19,30.3708,17.5899,2616.130111
7,2997.48,28.7723,18.1707,2624.992411
7,3005.66,39.3907,16.5113,2633.80448
7,3018.89,34.8236,15.972,2648.198389
7,3036.07,27.2726,14.376,2667.151021
7,3047.25,42.3592,17.0921,2679.643106
7,3077.22,59.1431,10.4544,2713.747018
7,3098.67,22.6587,17.0615,2738.707203
7,3110.4,31.7409,17.6314,2752.55136
7,3116.79,30.3708,18.7101,2760.150955
7,3126.87,25.8037,18.7101,2772.222057
7,3137.21,33.3393,20.9088,2784.710089
7,3147.1,30.3708,19.2494,2796.754675
7,3159.78,33.3393,17.0506,2812.34017
7,3167.93,22.2038,18.2274,2822.442543
7,3176.54,34.8236,19.7887,2833.187264
7,3203.81,31.0558,19.7273,2867.707675
7,3213.32,30.0328,20.0724,2879.921035
7,3223.2,58.1657,23.6834,2892.70536
7,3247.64,30.0328,20.7893,2924.749133
7,3258.14,31.0558,22.5417,2938.699328
7,3268.09,38.8015,24.6392,2952.020537
7,3280.79,32.0058,22.5417,2969.167315
7,3292.4,32.9557,23.9754,2984.98356
7,3303.33,32.9557,25.0109,2999.996625
7,3315.64,47.383,23.3876,3017.048253
7,3328.71,29.1837,22.8342,3035.318479
7,3339.59,39.6761,21.9874,3050.657647
7,3349.94,41.6742,21.3133,3065.35946
7,3372.26,45.5276,19.9131,3097.428836
7,3384.46,49.2383,20.6391,3115.168368
7,3392.39,49.2383,22.0393,3126.778879
7,3404.42,43.5295,18.5649,3144.512362
7,3413.36,43.5295,20.6391,3157.784597
7,3424.33,51.0937,23.3876,3174.179755
7,3435.38,47.383,21.3133,3190.816138
7,3466.34,62.5113,21.3133,3238.078436
7,3480.94,49.2383,17.8907,3260.6988
7,3546.46,83.3483,24.1136,3364.836288
7,3569.26,57.1328,20.8405,3402.081456
7,3581.44,66.222,21.3133,3422.191245
7,3591.44,73.7861,26.862,3438.812645
7,3606.3,75.7842,21.3651,3463.696755
7,3623.52,66.222,16.5424,3492.809059
7,3637.98,58.6578,15.1423,3517.484326
7,3650.33,75.7842,16.5424,3538.724535
7,3667.94,49.2383,10.3196,3569.27498
7,3683.36,41.6742,7.57114,3596.280797
7,3701.25,30.2566,1.40014,3627.910406
8,2695.06,22.5063,10.153,2346.170244
8,2701.99,23.2663,10.1318,2351.535623
8,2710.26,17.0697,9.02729,2358.001316
8,2720.12,16.3098,9.28218,2365.799491
8,2728.28,24.0262,11.5549,2372.326675
8,2734.19,41.6513,14.0985,2377.095661
8,2754.3,30.2566,14.8934,2393.584755
8,2775.25,25.8037,9.8736,2411.192706
8,2795.04,27.1738,11.5745,2428.228829
8,2803.84,24.3194,12.6531,2435.930061
8,2819.27,30.3708,9.91508,2449.620405
8,2831.38,27.288,12.0723,2460.531818
8,2841.84,31.7409,14.3126,2470.074581
8,2852.07,21.2367,14.8519,2479.513341
8,2858.61,24.2053,16.5113,2485.602343
8,2868.8,18.6399,15.6406,2495.17488
8,2888.05,43.9577,14.3126,2513.541786
8,2904.03,33.3393,16.5113,2529.070191
8,2910.62,33.3393,18.1707,2535.548326
8,2917.86,33.3393,15.9305,2542.715492
8,2934.6,33.3393,14.3126,2559.4878
8,2949.37,31.7169,16.0917,2574.519007
8,2956.7,28.7723,18.1707,2582.059635
8,2963.28,28.7723,17.0921,2588.874475
8,2972.08,27.1738,15.3912,2598.056219
8,2979.2,30.2566,17.5899,2605.54176
8,2986.41,30.2566,18.1293,2613.173581
8,2995.17,30.2566,19.7887,2622.516033
8,3003.44,37.7922,15.972,2631.406325
8,3017.16,40.8749,15.972,2646.306245
8,3032.59,31.7115,15.1724,2663.288117
8,3048.51,32.9557,16.5677,2681.058817
8,3075.99,79.5029,13.3816,2712.329683
8,3097.76,25.8649,17.4918,2737.638941
8,3106.4,36.3536,19.3821,2747.81496
8,3115.65,35.0748,20.6765,2758.792166
8,3126.64,35.0748,18.9507,2771.945493
8,3135.47,35.0748,22.004,2782.601139
8,3145.13,36.4449,21.5726,2794.347699
8,3157.91,35.0748,19.8136,2810.031571
8,3168.46,30.3251,19.3821,2823.101808
8,3176.82,38.8874,19.3821,2833.53793
8,3203.65,33.9787,18.9175,2867.502966
8,3213.91,36.3536,21.5726,2880.681731
8,3222.71,48.5019,22.4687,2892.069019
8,3246.51,36.3536,21.5726,2923.254397
8,3257.49,35.0748,22.4687,2937.832543
8,3267.18,38.8198,23.7962,2950.798102
8,3279.21,36.4221,21.9874,2967.025309
8,3291.92,40.8749,21.4481,2984.326987
8,3302.37,40.8749,23.1075,2998.673217
8,3314.27,43.8435,22.5682,3015.143055
8,3327.14,43.9577,23.1075,3033.114788
8,3337.59,46.9263,23.6469,3047.829067
8,3349.71,45.442,21.4481,3065.031589
8,3362.36,49.8948,22.5682,3083.143037
8,3372.23,50.009,22.0289,3097.385397
8,3382.38,42.3592,21.4481,3112.133398
8,3392.6,43.9577,21.4896,3127.0872
8,3403.64,43.9577,19.2494,3143.358173
8,3414.63,43.9577,19.2494,3159.676509
8,3422.89,45.442,22.5682,3172.020749
8,3434.66,42.4734,21.4896,3189.72842
8,3468.63,45.442,17.6314,3241.612329
8,3485.72,41.137,16.5435,3268.150963
8,3545.61,54.2998,25.6674,3363.457813
8,3570.41,49.9372,18.4999,3403.973821
8,3582.45,57.5446,19.8302,3423.865466
8,3589.63,65.0802,25.8456,3435.796759
8,3602.82,62.1116,21.4481,3457.84945
8,3620.93,56.8025,16.4906,3488.411433
8,3638.82,43.5295,11.6679,3518.92417
8,3667.7,33.9673,8.97128,3568.856535
8,3682.09,30.2566,4.82271,3594.047597
8,3697.04,35.9654,4.77086,3620.438309
9,2695.86,13.2115,6.47841,2346.787172
9,2700.91,23.2663,9.02729,2350.696301
9,2710.49,11.6331,6.77578,2358.182113
9,2719.24,16.3098,6.75454,2365.099557
9,2728.25,18.5896,7.90153,2372.302556
9,2734.45,30.9827,9.57955,2377.306266
9,2744.31,31.0412,7.60416,2385.342955
9,2758.59,27.1389,7.98768,2397.154657
9,2768.1,28.021,9.45727,2405.133975
9,2780.42,29.7534,10.075,2415.605482
9,2792.05,23.3101,9.5052,2425.629786
9,2798.39,39.7515,11.9744,2431.151419
9,2810.6,40.7014,14.7888,2441.8986
9,2816.58,34.9287,12.3461,2447.216554
9,2826.8,32.9557,13.3816,2456.38788
9,2837.37,29.0829,14.4437,2465.983167
9,2846.53,26.16,15.134,2474.388841
9,2852.15,22.2871,18.6652,2479.587566
9,2861.31,23.3101,18.6652,2488.128625
9,2883.91,48.4105,14.3126,2509.560431
9,2899.88,39.3907,16.5113,2525.012923
9,2905.94,28.7723,18.7101,2530.9433
9,2915.27,36.4221,17.0506,2540.145525
9,2930.12,30.2566,15.4327,2554.971691
9,2944.95,26.0325,16.0826,2569.997966
9,2951.15,25.4167,20.3973,2576.345216
9,2959.91,30.2566,18.1707,2585.378791
9,2968.66,28.7723,15.972,2594.47866
9,2975.8,30.2566,17.0921,2601.96088
9,2982.98,28.8865,17.5899,2609.536426
9,2991.23,28.7723,18.7101,2618.304567
9,3000.03,28.7723,15.972,2627.732271
9,3013.8,25.8037,13.7318,2642.63988
9,3027.53,31.8753,16.423,2657.692971
9,3050.1,50.009,17.6314,2682.847575
9,3070.38,64.3666,18.6167,2705.884438
9,3095.11,32.4736,17.8517,2734.532783
9,3103.9,35.9654,19.965,2744.862835
9,3112.61,37.9635,19.965,2755.175083
9,3122.02,37.8207,19.239,2766.401354
9,3131.32,41.6742,21.3651,2777.583395
9,3141.94,43.5295,21.9874,2790.45834
9,3154.33,45.5276,19.239,2805.621655
9,3163.72,37.8207,19.9131,2817.215723
9,3172.9,45.5276,21.3133,2828.635735
9,3200.44,41.6742,19.239,2863.401405
9,3210.03,47.2402,22.7134,2875.685571
9,3219.67,60.6559,21.3133,2888.126473
9,3244.46,47.383,20.6391,2920.545968
9,3255.16,37.6323,21.1079,2934.728925
9,3264.82,39.9159,22.9001,2947.63169
9,3276.74,37.6323,22.004,2963.681732
9,3288.62,40.0072,22.4355,2979.819286
9,3298.74,43.5695,24.1945,2993.677412
9,3311.95,44.8483,22.4355,3011.921016
9,3324.26,46.127,21.5726,3029.078756
9,3335.28,47.3145,23.963,3044.567035
9,3345.83,49.6893,25.0906,3059.508525
9,3359.47,47.3145,21.5726,3078.991219
9,3371.39,43.5695,19.8136,3096.169489
9,3381.95,46.9263,21.4481,3111.506516
9,3389.78,45.442,23.149,3122.95057
9,3402.32,46.9263,20.9088,3141.406315
9,3413.89,48.5247,20.328,3158.573939
9,3436.42,49.8948,18.7101,3192.388202
9,3450.73,54.576,18.1707,3214.129027
9,3469.44,69.7614,17.0921,3242.863565
9,3484.34,60.6274,16.4698,3265.997156
9,3545.46,62.8278,25.9025,3363.214628
9,3568.93,43.8475,18.0257,3401.538673
9,3580.14,52.9776,19.2494,3420.037808
9,3590.02,68.163,23.1075,3436.446314
9,3604.33,78.7813,18.1707,3460.385155
9,3620.84,53.0918,15.3912,3488.258741
9,3635.69,45.442,11.5745,3513.562621
9,3665.98,39.3907,8.79497,3565.859366
9,3680.25,30.3708,6.59623,3590.814956
10,2671.24,19.4081,5.07652,2328.094437
10,2681.67,14.7314,5.07652,2335.939413
10,2691.52,17.8297,5.65002,2343.448019
10,2697.73,17.0697,7.05191,2348.231737
10,2706.18,17.8882,7.60416,2354.802922
10,2718.01,18.5896,6.20228,2364.122537
10,2725.34,21.5529,7.85133,2369.967296
10,2732.39,27.9429,8.17766,2375.639479
10,2739.99,22.2035,8.29027,2381.809843
10,2751.22,31.8012,11.5549,2391.033098
10,2764.72,25.6046,7.90153,2402.287643
10,2775.73,29.4628,7.88029,2411.601277
10,2784.46,34.713,10.2394,2419.072368
10,2791.78,24.0262,13.2329,2425.39553
10,2805.79,61.0156,17.2581,2437.647065
10,2827.99,22.2871,15.1605,2457.462563
10,2842.78,18.4143,14.7888,2470.93751
10,2849.12,20.3872,17.2581,2476.780771
10,2857.94,27.1099,17.2581,2484.97658
10,2880.11,40.7014,14.8154,2505.921133
10,2894.55,26.16,16.5677,2519.827286
10,2901.61,26.16,18.2935,2526.702173
10,2909.79,28.1329,16.9129,2534.730025
10,2925.75,15.2271,15.497,2550.585806
10,2939.89,20.3109,14.9937,2564.846279
10,2947.44,22.5063,16.9076,2572.542485
10,2955.34,23.2663,16.9076,2580.656496
10,2963.22,23.2663,16.058,2588.812138
10,2971.12,25.6046,16.9076,2597.050811
10,2978,24.0262,17.1837,2604.2766
10,2987.18,27.183,18.5856,2613.991702
10,2995.33,39.5176,18.3307,2622.687385
10,3008.59,34.8994,15.5057,2636.977157
10,3023.8,18.7927,15.6102,2653.58488
10,3048.03,34.8556,14.7888,2680.519311
10,3069.16,64.8884,17.2581,2704.486965
10,3091.01,26.91,17.7507,2729.740867
10,3100.52,30.0328,18.6652,2740.881499
10,3109.17,31.0558,21.1345,2751.093213
10,3119.53,29.0829,19.3821,2763.422131
10,3129.4,31.0558,21.1345,2775.26776
10,3139.25,30.1059,21.4796,2787.186506
10,3150.88,28.1329,21.1345,2801.384003
10,3161.45,32.7,21.1411,2814.404816
10,3171.15,32.7,20.245,2826.452216
10,3198.86,21.8304,18.9507,2861.386352
10,3208.55,25.484,21.1411,2873.783786
10,3218.44,36.4221,24.767,2886.533925
10,3243.75,28.7723,18.7101,2919.608906
10,3253.67,37.7922,20.3695,2932.747053
10,3624.12,48.5247,21.4481,3493.828771
10,3273.67,43.9577,22.5682,2959.534453
10,3285.8,45.5561,23.1075,2975.97588
10,3296.6,48.5247,24.7255,2990.7384
10,3309.8,52.9776,23.6469,3008.93988
10,3321.07,45.442,24.767,3024.617971
10,3334.56,50.009,23.1075,3043.551389
10,3346.25,45.442,20.9088,3060.105656
10,3357.24,43.9577,20.9088,3075.793277
10,3369.25,45.442,20.9088,3093.075006
10,3379.7,46.9263,21.4481,3108.229335
10,3389.57,43.9577,19.8302,3122.642841
10,3401.65,39.7515,17.6032,3140.416266
10,3411.16,42.6744,20.0724,3154.511085
10,3420.32,41.7244,21.1345,3168.172675
10,3433.7,39.7515,17.6032,3188.278935
10,3466.83,47.5702,15.8509,3238.834155
10,3550.27,80.3798,21.4481,3371.023975
10,3575.03,57.7727,17.674,3411.589521
10,3581.9,66.6787,24.767,3422.953635
